sigma_rate,exp_b,beta
0.8526701,2.0697987,2.448408
0.77152145,2.0066502,2.3811555
0.76285875,2.1453261,2.3881178
1.0084323,1.7612103,2.4590561
0.77847016,2.0999665,2.3617113
0.7627812,1.8243952,2.479186
0.85965174,1.855316,2.4634519
0.8122692,1.941407,2.4554062
0.8559771,2.0251317,2.5302749
0.90651476,1.8115808,2.3887398
0.76191276,1.9421685,2.3280103
0.9543046,1.967658,2.4937115
0.96565187,2.0758772,2.5517852
0.8089919,1.8037736,2.4649138
0.6921267,1.7391651,2.4378445
0.81518567,1.9151461,2.4330473
0.8721864,1.8368605,2.4379506
0.7068165,1.7876413,2.5303948
0.84262854,1.9071923,2.4594088
0.8281135,1.8466984,2.399112
0.7599359,1.8626328,2.4560966
0.8843341,2.0813918,2.4659004
0.7204772,1.9586444,2.3853512
0.80322295,1.9546504,2.4245129
0.7469864,2.0574384,2.3601446
0.8257323,2.1167426,2.3630664
0.750052,2.0298808,2.4696984
0.83021986,2.0078576,2.4225385
0.73399544,2.1203709,2.4286113
0.8080755,1.9408678,2.4742665
0.6648017,2.0869093,2.423925
0.67965716,2.0028882,2.4392416
0.8603461,1.9973018,2.3427079
0.8627483,2.0148592,2.4351115
0.7490907,1.8140805,2.406772
0.9122322,2.128414,2.4468558
0.9247209,1.7658587,2.5560837
0.90405744,1.8525804,2.4460146
0.8555167,1.9270571,2.371102
0.7120378,1.9020829,2.4129016
0.9091953,2.0832858,2.4725816
0.7710583,1.9153395,2.4344835
0.853358,1.912157,2.454205
0.77360106,1.8873553,2.3742907
0.789235,1.9833938,2.3956802
0.8727754,1.9682899,2.4630988
0.6514766,1.6006486,2.3688197
0.8326349,1.9987471,2.4022048
0.632213,1.7323141,2.3605325
0.71137345,2.148396,2.400686
0.96898794,1.9500108,2.4995778
0.7733983,1.8846141,2.3643336
0.72060204,2.058879,2.391231
0.8503017,1.9494389,2.4658637
0.7250428,1.8292254,2.3628685
0.75255024,1.8647597,2.4205213
0.88908464,1.9983276,2.4468372
0.9271046,1.9436352,2.425329
0.8529067,1.9767121,2.3458831
0.79906225,1.8309718,2.3853564
0.7609833,1.9812204,2.4431086
0.76607925,1.9517621,2.3512557
0.74139667,1.5925453,2.4441862
0.9000391,2.0129664,2.4059827
0.74366134,2.05517,2.5546856
0.897451,1.9373012,2.438004
0.83265454,1.9278419,2.464988
0.8945993,1.8177723,2.4699676
0.814995,1.9549546,2.347555
0.9609945,1.9068296,2.4379165
0.9068977,1.7572798,2.4915717
0.75730395,2.0088608,2.4556127
0.87611806,2.0404108,2.4065928
0.6932855,1.9826782,2.3248365
0.80734897,1.8053666,2.5598946
0.83478653,2.0138016,2.4484625
0.82490855,2.2609558,2.4307458
0.9465647,1.9221628,2.5440474
0.8774143,1.731469,2.4607131
0.7987505,1.7444885,2.4652975
0.86856747,1.8402239,2.4156337
0.8081423,1.9063923,2.4049468
0.6849772,1.9452782,2.529126
0.8522612,1.9470617,2.3662815
0.9015358,2.0222185,2.4283051
0.9426331,1.9956626,2.463777
0.7607722,2.090914,2.3846207
1.0350354,1.6913992,2.4249618
0.9146925,2.0209408,2.6034243
0.8384381,1.9925857,2.384215
0.8013285,1.6346831,2.435979
0.7909104,2.000764,2.4720507
1.0007864,2.0822818,2.344986
0.808845,1.9666542,2.566812
