sigma_rate,exp_b,beta
1.2360789,1.6203027,2.4022088
1.1596549,1.6720219,2.2923517
1.1781476,1.6528711,2.3200269
1.2530777,1.6578022,2.2973526
1.1589423,1.7363864,2.2666163
1.1298298,1.573669,2.4100533
1.1589345,1.6203834,2.266911
1.1083183,1.6714056,2.3867316
1.1149011,1.697441,2.3668067
1.2157218,1.525897,2.357203
1.1652188,1.7528746,2.279682
1.199019,1.7901517,2.339033
1.0767095,1.7117975,2.3587694
1.1827058,1.6324449,2.383582
1.1494774,1.7881601,2.400453
1.1145787,1.641159,2.2896488
1.1920984,1.8347392,2.3257053
1.1583629,1.6521385,2.4088643
1.1715121,1.6552442,2.3611333
1.1015371,1.600688,2.4096196
1.2050581,1.7229041,2.4080763
1.1248823,1.7310333,2.2980876
1.1297164,1.7202554,2.384541
1.26052,1.7123988,2.3267243
1.1864054,1.6320522,2.404576
1.1326188,1.7304422,2.3501396
1.2635658,1.6267738,2.2083778
1.1993423,1.7123463,2.3226323
1.211739,1.7140093,2.1677792
1.1839627,1.5187922,2.3900335
1.1486729,1.5101199,2.5030453
1.0817863,1.6830405,2.3618305
1.1989492,1.587001,2.2861068
1.2147844,1.6776915,2.2587624
1.0523049,1.6374415,2.4345028
1.1375617,1.726567,2.392432
1.1353536,1.7000599,2.3971248
1.197638,1.6453859,2.3426883
1.1413943,1.838052,2.3870559
1.1282703,1.8044658,2.3206656
1.0946971,1.7122931,2.4065762
1.2382313,1.8159095,2.3078728
1.0182543,1.7996781,2.4381435
1.1571952,1.533536,2.3426821
1.0503759,1.7046007,2.3768477
1.1702981,1.6707755,2.2374232
1.2220509,1.6344674,2.3004704
1.1641581,1.5349882,2.219868
1.1367816,1.6691772,2.413008
1.1321024,1.6392571,2.3517356
1.1479934,1.5815678,2.4280033
1.2827517,1.4640718,2.422068
1.1924328,1.691466,2.2385726
1.227148,1.6921191,2.3740294
1.183779,1.7159939,2.256723
1.1412268,1.6303115,2.3923993
1.0911769,1.7554128,2.4002264
1.1419314,1.8344581,2.3159304
1.2070892,1.7209307,2.3546724
1.0805678,1.6467342,2.3407292
1.2322994,1.5713098,2.2181323
1.1745923,1.705434,2.3407571
1.125176,1.8062137,2.4108415
1.2215616,1.7115548,2.36018
1.2287877,1.7240744,2.2639794
1.2720383,1.6031656,2.3240917
1.1784109,1.6252909,2.3877797
1.2337056,1.6686984,2.322045
1.3202976,1.7053863,2.365361
1.1928774,1.7179972,2.2896888
1.0366542,1.6716349,2.3218827
1.1546683,1.4825728,2.4488564
1.2110236,1.7627164,2.3630664
1.2398872,1.5877125,2.3313844
1.2512877,1.7239623,2.2679021
1.1549693,1.6262714,2.3792968
1.226052,1.5992484,2.2951653
1.1337087,1.7042142,2.35961
1.1056058,1.8388965,2.3626022
1.2601868,1.7309747,2.3242059
1.1527014,1.7267812,2.2636464
1.2459905,1.6969149,2.2183783
1.0278054,1.5596833,2.4100778
1.1030198,1.6660069,2.3517408
1.257686,1.5557556,2.1793804
1.2213099,1.7410582,2.2533875
1.1018664,1.8289798,2.4293768
1.1565632,1.6890464,2.2813828
1.1582153,1.7366097,2.305451
1.1435359,1.6163222,2.315691
1.210424,1.5723044,2.2819824
1.1294516,1.5356334,2.392364
1.0508573,1.6735351,2.4150887
1.1142169,1.6094712,2.4233904
1.2331398,1.7472668,2.1483533
1.2617848,1.753596,2.2799535
1.2245417,1.6520717,2.4406757
1.1629384,1.7023932,2.3150828
1.1510239,1.5630018,2.386826
1.0730628,1.6483134,2.3445933
1.1477395,1.7405286,2.4775198
1.1776685,1.8369665,2.329498
1.0470827,1.6766511,2.3742716
1.2396789,1.6948528,2.3704877
1.1472663,1.6671208,2.3696346
1.2461513,1.6369777,2.4303272
1.2246814,1.4449763,2.401122
1.2137839,1.640623,2.4320612
1.0786644,1.735984,2.3984447
1.0534912,1.6551783,2.5335445
1.109012,1.7881719,2.2779458
1.2487824,1.5442973,2.3965986
1.1675493,1.5583518,2.3991752
1.2016233,1.6840537,2.2920792
1.142063,1.6037467,2.3428483
1.2446207,1.6950793,2.2555254
1.1441755,1.7273804,2.4196215
1.2451036,1.4884427,2.3249128
1.1761079,1.685613,2.3571472
1.1018145,1.612993,2.3628266
1.2610083,1.5511532,2.362952
1.1843566,1.7104608,2.2442226
1.1092024,1.5800964,2.5468833
1.2629285,1.5855213,2.2327716
1.1983926,1.7290009,2.354016
1.3315412,1.5620674,2.2231865
1.2205938,1.6299864,2.326775
1.0031879,1.8019005,2.4914467
1.2370293,1.6186125,2.3535335
1.1204013,1.8705857,2.3375273
1.1402818,1.7174339,2.3255446
1.1458507,1.6165731,2.3506165
1.2432075,1.7274439,2.2416048
1.2247924,1.6773776,2.4609857
1.1982666,1.7597271,2.216879
1.1202221,1.6716938,2.3038833
1.170137,1.5908276,2.3313518
1.2386885,1.6212997,2.2772753
1.1871709,1.617996,2.3869333
1.1214403,1.4633393,2.440113
1.1698529,1.6716906,2.3437457
1.136024,1.6538529,2.2505877
1.1131793,1.6239855,2.498038
1.2117022,1.6641401,2.2468896
1.2540183,1.6682059,2.3009646
1.1871238,1.7539366,2.2794793
1.3315107,1.5240182,2.2607963
