sigma_rate,ln_a,beta
-1.6173353,-3.0524185,4.258142
2.9666288,-1.6791855,2.261315
3.8571029,-3.6871388,2.732175
3.2234156,-2.080209,4.1921124
3.4393308,-1.6513319,2.28751
-0.41510767,2.5860956,3.6070693
-1.1769872,-1.7063373,3.6980546
2.71896,-1.3031503,3.0045931
3.1826105,1.5687984,3.5007405
-1.0368295,-1.3515224,3.6540341
3.2108305,1.507159,3.558825
2.9359426,-1.6800168,3.2265239
3.217806,-2.6979349,3.375547
3.2738225,-2.0353117,2.9244664
1.9271481,0.42826483,4.462135
-1.3915551,-2.1818535,3.6542046
-0.69376683,5.4827595,3.3726761
-0.83677894,-1.3175172,3.6255925
1.8306189,0.37256172,3.658603
0.14995152,0.38782772,3.6373575
-0.24047253,2.2471519,3.0594752
0.29559085,-1.5502691,3.659773
2.836424,-3.2186384,3.160591
-1.2651533,-0.18894956,2.4716012
3.036063,-1.4439924,4.114677
2.8943954,-1.4788401,4.6300106
0.26018262,-1.536003,3.784572
-1.742375,3.9178147,4.373844
2.877836,-1.554637,3.3608012
0.00493069,-0.24985863,3.5806904
1.0294051,1.2329607,3.5683045
-1.03064,-1.2764771,3.5573108
3.38143,-3.320166,2.7587175
1.393201,-1.1752218,3.3318405
-0.61889887,3.6669042,2.5991585
2.4480844,-0.012828012,2.614232
3.1100528,1.6157869,3.3371687
3.0116618,-1.7307849,3.9265137
1.5597277,-2.4844272,2.7918632
0.7251313,-2.479849,3.4502952
-1.2267534,-1.3443372,3.5290875
1.9063765,-0.43218997,4.0389028
-0.33708954,2.2744539,1.1437488
-1.0622293,-1.6758627,3.5525987
1.1308954,-2.3531494,3.2614799
4.0293045,-3.9000707,2.8293176
-1.4173822,0.6861777,4.4565463
4.2366896,-3.8955665,2.0881875
3.16206,1.7559978,1.6990403
