sigma_rate,exp_b,beta
-0.040732045,2.559542,2.934227
-0.03157031,2.6791518,3.0257728
-0.019395325,2.615341,2.9173954
0.04091043,2.6922622,2.910346
-0.082751855,2.5088356,2.898523
0.0044918284,3.0072498,3.0474505
-0.06831552,2.552936,2.8962958
-0.1052169,2.6838827,2.818363
-0.077968344,2.4937541,2.78405
-0.015800465,2.4281392,3.05166
-0.06886739,2.630768,2.959698
-0.039288223,2.7497027,2.7965388
-0.07746296,2.6192281,2.9778981
-0.061612733,2.574562,2.8513355
0.04942555,2.7024617,2.9837964
0.04374098,2.945463,2.9565063
0.03815969,2.6704,2.9836621
-0.009708045,2.5895588,2.9202058
-0.022137746,2.6477509,2.8881376
-0.005777862,2.7345285,2.9072807
-0.10102421,2.6926637,2.90046
0.10158937,2.8884642,3.0990937
-0.0046883747,2.667406,3.0255713
0.017037885,2.614323,2.9417121
0.00033850037,2.8112135,2.9605496
-0.08007682,2.43688,2.908917
-0.013820654,2.6400921,3.0002797
0.02892443,2.4831185,2.9456089
0.019500015,2.9048524,2.8510098
-0.005011441,2.798718,2.9111042
0.013593467,2.846843,3.0634363
0.007099526,2.413438,2.9861312
-0.10563037,2.7210965,3.0022993
0.029090079,2.5573316,2.9525125
0.013764406,2.672929,2.9770486
-0.09523497,2.5387769,2.9139526
-0.019241486,2.6648986,2.9930162
-0.013071316,2.6734245,2.9877381
-0.054409627,2.638718,2.9033248
-0.08764209,2.4760604,2.8952217
-0.0862065,2.6507485,2.9101841
0.034033477,2.6913955,3.0247252
0.002506934,2.6719594,2.9389946
0.023696432,2.6431887,3.0360172
0.016313137,2.5256453,2.874857
0.024508918,2.658598,2.9704068
-0.009469898,2.4769561,2.8959894
0.017251125,2.6895342,2.9847517
-0.013041393,2.6514053,2.8580897
-0.046241477,2.5447223,2.8999553
-0.016863715,2.8536425,2.8159535
-0.043095157,2.5360308,2.8432307
0.056314364,2.8912556,3.0263834
0.08283912,2.8192623,3.0536923
-0.11432407,2.5228887,2.9127893
-0.060232744,2.587709,2.9637325
0.041860998,2.5810468,2.9741426
0.021956848,2.869841,2.8826628
-0.032704856,2.7638373,2.951686
-0.021912798,2.8741295,2.9794104
-0.023113357,2.5129712,3.023837
0.005523121,2.6845322,2.9981396
0.022565098,2.8001308,3.0214777
-0.07098441,2.3443503,2.9314828
-0.06000325,2.7800484,2.891627
-0.009581039,2.7331178,2.8800292
-0.069879144,2.67769,2.8738482
-0.06262303,2.681145,2.886564
0.05300846,2.6987693,2.926625
-0.14095138,2.2097192,2.960545
0.011660645,2.7222562,2.9716835
0.072272524,2.8425255,3.0768425
0.0060819257,2.6692412,2.8896117
-0.098268986,2.4835274,2.9088552
-0.06612089,2.7979884,2.7777033
-0.038762882,2.7956657,2.8012903
-0.0926061,2.4973469,2.854777
-0.088056706,2.739254,2.9132922
-0.04411721,2.4064434,2.9214077
-3.1106174e-07,2.459679,2.9342322
0.03311933,2.723374,3.023518
-0.01947757,2.7338996,2.8477533
-0.018558998,2.7160192,2.9547222
-0.09032291,2.618298,2.896253
-0.051072367,2.842828,3.0016084
-0.017141674,2.7235143,2.9773352
-0.030877752,2.8449244,3.017862
-0.00093396194,2.446476,2.9990976
-0.04158924,2.6695607,2.8416104
0.0022309814,2.6848412,2.9911015
-0.07293324,2.2657025,2.875111
-0.09171926,2.5780978,2.977512
-0.11470178,2.452771,2.8868701
0.007044034,2.62434,2.9401536
0.011308426,2.4345052,2.994864
0.011878053,2.795702,3.0238125
-0.035783216,2.7757902,2.9471176
-0.041007973,2.5146055,2.9622016
-0.04681432,2.4324582,2.98178
0.008190667,2.550312,2.8380742
-0.02998621,2.7357574,2.96206
-0.01705226,2.579522,2.8651266
-0.08762354,2.6649294,2.9091825
-0.05903466,2.4889698,2.955162
-0.04908309,2.9537475,2.9152293
-0.0055818055,2.9813259,2.9718091
0.03448733,2.6963754,2.9114523
0.032468356,2.8351226,2.965891
-0.08605393,2.5986414,3.0265777
-0.008983409,2.6892436,3.0195568
-0.026147466,2.9297855,2.9172142
0.07511913,2.731017,3.037964
-0.041255243,2.8579192,2.9724054
-0.05534114,2.7778702,2.937483
-0.073978536,2.495282,2.8543558
-0.06710462,2.760046,2.9630485
0.01274989,2.6999178,2.9291954
-0.011196993,2.532021,3.0215478
-0.060840383,2.5147133,2.837927
0.022819242,2.7658048,2.9638178
-0.07227018,2.541923,2.8978908
0.03941892,2.8355424,2.9302003
0.026671467,2.9863164,3.0119998
-0.09943427,2.7632847,2.856074
0.0028332286,2.969952,3.0920963
-0.014779908,2.7275667,2.9244199
-0.03928034,2.5973399,2.8223116
0.035323307,2.879349,3.0148995
0.063090876,2.898432,3.0510385
-0.039461806,2.4651427,2.9188573
-0.023581704,2.7414083,2.997458
-0.016660795,2.689802,3.0366032
0.026431622,2.6640735,3.0048907
-0.01717098,2.8168511,2.9277456
0.027856281,2.6241846,2.9596028
-0.03506195,2.6825738,2.8673391
-0.00050098635,2.6575007,2.9736097
-0.093811795,2.5760646,2.8817108
0.0076311547,2.7068903,2.9245422
-0.07948947,2.6330104,2.921654
-0.039572142,2.589247,2.9602337
0.0761422,2.9526753,2.9908373
-0.009936359,2.4972506,2.8108559
0.024241028,2.6668568,2.9036963
-0.09172007,2.6611512,2.89996
-0.03546901,2.6547577,2.9699588
-0.049658872,2.7464347,2.8625255
-0.03811439,2.5966794,2.8394141
-0.049040243,2.4579005,2.9487362
-0.016505532,2.7720747,3.0081904
0.058874615,2.761341,3.088691
-0.0020532738,3.0558696,2.97021
0.01762533,2.8712735,2.9923573
-0.011435222,2.7498026,2.9490848
-0.028566005,2.4996705,2.994692
-0.012547813,2.6087437,2.9324965
0.07012854,2.9064085,3.0042498
-0.08931246,2.751638,2.8879387
-0.021795105,2.2478178,2.9742517
-0.038813975,2.543189,2.920701
-0.012163625,2.7396088,3.026847
-0.021061497,2.60619,2.8994098
0.026312342,2.5506976,2.7822547
-0.02277425,2.7442827,2.9778118
-0.013773689,2.6052678,2.9060051
0.018811377,2.7949557,2.9386482
-0.06925072,2.566698,2.9408872
-0.010125756,2.6970723,3.0283527
-0.03431928,2.593174,2.9417677
0.07045169,2.686173,2.9446537
-0.06537871,2.78612,2.8565176
-0.025436861,2.840279,2.9716697
0.07026506,2.7000344,2.930126
0.0050264113,2.6152961,2.9422624
-0.014226296,2.47607,2.9991572
0.023950918,2.6895282,3.0061634
0.007292753,2.702996,2.9336905
-0.010292646,2.9420009,2.931563
0.023578739,2.6748219,2.9004366
-0.09888026,2.7310982,2.9221764
-0.03176105,2.7245352,2.8959136
0.05258032,2.6507342,2.987332
-0.015793912,2.5018737,2.8933227
-0.03555716,2.287365,2.8252323
-0.002293352,2.5675044,2.951454
0.044348173,2.6099308,3.0217655
-0.0716288,2.6067946,2.873968
-0.053339384,2.8002355,2.9191113
-0.09940006,2.338161,2.8599925
-0.0006021317,2.6601832,2.9224336
0.024971774,2.6557136,2.9827595
-0.052103125,2.8853147,2.9644182
0.02237281,2.6916823,2.9905508
-0.024953775,2.6428323,2.9745586
-0.035815045,2.712845,3.002591
-0.1005364,2.5605888,2.8492904
-0.062503375,2.6166806,2.9958596
-0.014776505,2.786433,2.9215991
-0.05265011,2.8460977,2.8679132
-0.028445268,2.6584477,2.9010873
0.0153671075,2.7983725,2.890548
0.06862553,2.6954863,2.8900504
-0.09317138,2.4062922,2.8805792
-0.12232262,2.6077366,2.8924153
-0.016825333,2.2881312,2.8644269
-0.0048643462,2.5249715,2.8865929
0.088917635,2.9020445,3.047173
-0.015245438,2.6463654,2.9488914
0.018176211,2.7791698,2.86548
-0.04757518,2.6910458,2.9300609
0.037495792,2.7561738,2.9774044
-0.005361693,2.555859,2.8547082
-0.052090153,2.5445209,2.860662
