real_sigma_u,real_a,real_b,real_beta,inferred_sigma_u,inferred_a,inferred_b,inferred_beta
-0.8028028028028029,0.25025025025025016,3.456456456456457,5.391391391391391,-0.81139433,0.2641685,3.4900558,5.1974664
0.26226226226226235,1.8478478478478477,0.41141141141141135,1.5315315315315314,0.3874493,-0.4336146,-0.67613196,1.5121515
1.079079079079079,0.5865865865865865,1.9969969969969972,-0.9909909909909911,0.72038525,0.3619405,0.6591684,-1.0400294
-1.2792792792792793,-0.7467467467467468,-0.0570570570570571,-1.8638638638638638,-0.5748305,-0.6339892,0.69787025,-1.7999623
1.9719719719719722,-0.6386386386386387,4.555555555555555,3.6296296296296298,1.7552692,-0.6050305,4.369573,3.5780437
-1.4914914914914914,0.8468468468468466,0.8258258258258258,3.2772772772772774,-1.4804105,0.41157877,0.58279806,3.2985082
1.3953953953953953,-0.6146146146146145,4.243243243243243,3.253253253253253,1.4704422,-0.63544893,4.2815905,3.256947
-0.6266266266266267,0.1181181181181179,1.024024024024024,1.099099099099099,-0.5752224,0.48651257,1.4026179,1.1251303
-0.7667667667667668,-1.035035035035035,1.2462462462462462,1.3473473473473474,-0.7934487,-0.99507743,1.2608441,1.3893003
0.43843843843843855,-0.04604604604604612,0.8198198198198199,4.286286286286286,0.4491732,-0.05450317,0.84028506,4.244886
-0.4624624624624625,-0.4304304304304305,-0.4414414414414415,-1.91991991991992,-0.24426417,-0.6120558,0.6486336,-1.6915735
-1.7237237237237237,1.3673673673673674,3.12012012012012,4.286286286286286,-1.7556437,0.81756055,2.034392,4.1542187
1.019019019019019,-1.6796796796796798,1.0960960960960962,1.6676676676676676,0.99255043,-1.5847394,1.0983139,1.670286
0.8868868868868867,0.11411411411411398,1.9969969969969972,5.4474474474474475,0.8609162,0.1657581,2.0061655,4.934917
-0.4144144144144144,-0.5465465465465467,2.4954954954954953,0.8428428428428427,-0.5141804,-0.91255885,1.962923,0.8355784
0.1501501501501501,1.8838838838838838,2.2372372372372373,0.9789789789789789,0.26941758,1.3433403,1.6652234,0.9008134
-1.4874874874874875,1.0230230230230228,3.426426426426427,1.6596596596596598,-1.0838923,-0.70367604,1.2259413,1.6113704
-0.8868868868868869,-0.910910910910911,3.348348348348348,0.3463463463463463,-1.3317467,-1.4491098,1.8260733,0.267151
-0.7267267267267268,1.9879879879879878,4.663663663663663,4.862862862862863,-0.72613573,1.5836209,3.4993978,4.191407
-0.08608608608608614,-1.099099099099099,1.5465465465465464,0.9389389389389389,0.09818539,-1.6103137,1.1541048,1.0009674
