sigma_rate,arctan_a,arctan_b,beta
-2.1122975,-0.65883106,-1.5339718,3.800289
0.42104745,-0.8051156,-0.93624157,4.1207414
1.9642559,-0.055008464,-1.4287243,4.1791396
-0.49770072,-0.18086569,0.96824443,4.787376
1.753628,-1.3432884,-0.79879355,4.1243896
-0.8254869,-0.30014607,-0.2560344,4.724083
1.225073,-1.1233475,-1.2616909,3.6065733
1.9863209,-0.8188725,-1.7314825,3.2487555
-1.6251127,-0.9270928,-0.87410694,5.078738
-1.7945154,-0.50625396,-1.2937112,3.775009
0.276043,-0.94399124,3.3165402,5.7417464
1.8209558,-1.7037499,-0.53599423,3.7128844
0.010269762,0.3634508,-1.084999,4.582922
3.4431853,0.15482907,0.49707568,3.2220964
0.6486388,-0.10408709,1.4647229,2.6461213
0.20363054,0.36047077,-2.9976103,3.791402
-0.18444462,0.7296086,-2.7033575,3.4472852
0.44112083,-0.280141,-0.33084163,-0.41069034
-0.8254484,-0.3854028,-0.7881532,-0.70406485
-1.7306796,-0.5548862,-1.4171001,3.8095732
1.5089309,0.30255422,-1.6724179,2.5375261
3.2341309,-0.09231451,0.22900406,3.7347977
0.60564095,-0.050677933,-1.7928684,0.21888272
-1.5832015,-0.6074443,-1.4613994,3.952972
-0.9009593,-0.17576337,1.4036462,5.187322
3.2670264,0.1641552,0.49802652,3.3101468
-0.16759607,-0.41729477,-1.3689198,4.2165666
0.6159328,-0.3246556,-2.2692611,3.1675355
2.8807771,-0.1661465,0.27192715,3.6852612
-0.061393674,-0.6082386,-1.1578667,4.1036863
-1.5544157,-0.5979635,-1.5121349,3.905696
-0.60152656,-0.28656724,-1.5432367,4.045664
0.44303426,-0.9156624,-0.9166934,3.4018066
0.80384177,-0.27368444,-1.2700607,3.0950015
-1.5561396,-0.47562912,-1.2401166,3.59642
-1.188858,-0.16331704,0.84864926,4.747092
2.4133222,0.4728587,-3.0311303,3.4038048
-1.8957902,-0.54473,-1.6032207,2.285985
3.0465186,0.11314452,0.2612847,3.6045387
-0.16346908,-0.54271907,-2.943266,2.9391365
1.9744741,-0.25354326,-1.7564617,3.285411
-2.7430916,-0.5984353,-1.7029238,1.7685002
0.9744634,-0.5149748,-0.79483205,2.5447342
3.2165194,-0.124071114,0.4046398,3.5435445
5.684588,-1.4065003,-7.056247,-3.3852959
2.7158,-0.2743108,-0.18256159,2.253545
1.7245802,-0.88374734,-1.0825133,3.7703168
1.1385006,-1.1808988,-1.2471668,3.9186196
5.6466126,-1.2935385,-7.3586044,-3.223996
2.4075878,-1.231959,-1.1813089,2.2038164
1.8976569,-1.0596113,-1.7952124,3.129174
1.9151188,0.20316517,-2.007458,3.5735881
2.857346,-0.045773182,-1.8184855,2.016456
0.24920842,-0.8091841,0.07030759,3.6489716
-2.014597,-0.64642763,-1.5353751,3.8541965
1.9315367,-0.47520489,-1.1438912,2.85363
3.2061353,0.1748566,0.41088843,3.6326077
-1.8374745,-0.56847817,-1.2434602,3.7235205
3.3356469,-0.18934408,0.1597592,3.6356812
2.2233043,0.09814749,-1.9951935,2.720726
1.7431484,-0.36745846,-2.1809413,2.864706
2.367361,-0.009923206,-1.9866445,2.2952883
1.510494,0.10188578,-0.6520781,4.6213694
-1.8754711,-0.52903897,-1.4338483,3.9787507
0.3266567,-0.067029245,1.324504,3.4732754
-1.6418628,-0.6784031,-1.4318391,3.7022061
1.4069293,-0.07660186,-0.51340216,3.686358
0.13567364,-0.83303285,-0.4553973,3.5655928
0.26189202,-0.35254952,-0.23539223,3.089801
-0.71969956,-0.51173353,-1.7570323,3.8705895
0.8213,-0.6580528,-1.8990884,3.8263805
-1.7385876,-0.27976462,0.21216461,2.6097589
1.9762641,-0.1090448,-1.3767052,3.8461795
1.5087236,-0.11097047,-1.2044386,4.665811
-0.5319647,-0.48508406,-2.0281081,3.852244
-1.0058895,-0.12892573,1.1262734,4.8756733
1.9985962,-0.79226184,-1.0887355,3.2770164
-0.31924728,-0.21653557,-1.2494514,3.843839
1.2618159,-0.7269787,-0.27737993,3.683186
-1.2602148,-0.79476565,-1.7281035,3.84265
1.8467543,-0.72145784,-2.355792,2.2070248
0.5109747,-0.17957428,-1.6496003,3.7120404
0.09553226,-0.047658317,0.86591285,2.609204
2.4114347,-0.30045256,-1.03131,2.4511924
3.1160972,0.13698415,0.33617866,3.4426053
1.6785924,0.14300035,-1.6198621,3.789153
-0.1660935,-0.13777816,-2.3819172,2.7956195
-0.55238944,-0.51607287,-1.9850984,4.1211925
-1.6112709,-0.5150072,-1.4823464,3.7859876
1.6022458,-0.8374035,-0.758773,3.8903575
0.023693664,-0.16678827,0.6025857,1.2380085
-1.553599,-0.55420977,-1.3755485,3.9979908
0.24152872,-1.218591,-1.5761503,3.2387347
1.7187988,-0.9042908,-1.8084025,3.8930202
-1.4157326,0.023053773,-1.1889485,5.1293473
1.9905761,-0.5811141,-2.2166698,2.3888564
3.2496324,-0.22883157,0.30853212,1.7077193
