sigma_rate,tan_a,tan_b,beta
-1.4730817,-0.66937566,-1.1432081,3.842099
0.47712323,-0.91669834,-0.9329319,4.21724
2.4312475,-0.36009625,-1.5144452,4.0414176
-0.31126955,-0.37407064,0.31559905,4.503954
1.8314744,-1.3532802,-0.8300387,3.9214616
-0.6488454,-0.5732043,-0.31523633,4.447664
1.2191529,-1.0902945,-1.2906477,3.619552
2.505035,-0.77733,-2.1656852,3.3639116
-1.5854697,-0.9752055,-0.9021423,4.9480686
-1.3623804,-0.68963057,-1.1593685,3.9032466
0.43101746,-0.12978746,1.2140586,5.774649
1.8333677,-1.6881112,-0.5642841,3.5786345
0.16130762,-0.081053,-0.8380508,4.4135256
3.680812,-0.22251412,0.0727796,3.2758102
0.8194755,-0.29827505,0.59079105,2.6074462
0.3597346,0.055250395,-2.324249,3.8229344
0.023743391,0.36449683,-2.172816,3.3721523
0.6012352,-0.4864305,-0.4743698,-0.10051169
-0.15448141,-0.5407587,-0.6539314,-0.37839282
-1.4043986,-0.70221084,-1.1746014,3.7618198
1.615033,0.04784196,-1.4513066,2.6836238
3.4977214,-0.58142954,-0.36189514,3.6246312
0.66880214,-0.3702756,-1.3467363,0.39930218
-1.4979331,-0.6375138,-1.1590724,3.5657816
-0.71529305,-0.27868995,0.60143864,4.985808
3.3931832,-0.44460088,-0.16687866,3.524518
-0.02520241,-0.65759176,-1.2719532,3.8957186
0.7011991,-0.48573142,-2.0595865,3.1393597
3.4740205,-0.38638523,-0.17410815,3.459468
0.037818197,-0.69848186,-1.1464993,4.0741696
-1.5113913,-0.6900375,-1.1578529,3.8552496
-0.37622723,-0.4814013,-1.3136406,3.9910014
0.46633145,-0.92744356,-0.9891128,3.4087546
0.9218911,-0.58119935,-1.0096335,3.0529408
-1.4979961,-0.6612042,-1.2856072,3.5307448
-1.1264157,-0.3579749,0.19485354,4.617964
2.4268668,0.15972894,-2.5156085,3.850189
-1.4663466,-0.7200863,-1.317854,2.3920968
3.5353844,-0.2948359,0.016992368,3.322027
-0.16789661,-0.74755245,-2.5014904,2.9951246
