a,b
5.005005005005003227e-02,4.104104104104102646e-01,-4.376983735710382462e-03,3.930239677429199219e-01
-8.388388388388388073e-01,1.591591591591591470e+00,-8.501672148704528809e-01,1.617292523384094238e+00
-1.027027027027027195e+00,-5.805805805805808184e-02,-1.270873785018920898e+00,-3.038145601749420166e-01
-1.907907907907907985e+00,9.409409409409397185e-02,-2.051330089569091797e+00,-1.283279955387115479e-01
1.819819819819819884e+00,-2.262262262262262347e-01,1.730092883110046387e+00,-2.170906960964202881e-01
-1.367367367367367414e+00,3.403403403403393312e-02,-1.462834715843200684e+00,-7.095978856086730957e-01
1.501501501501500968e-01,-2.202202202202196979e-02,2.218135446310043335e-01,-1.731794625520706177e-01
-1.423423423423423539e+00,1.711711711711711548e+00,-1.415945768356323242e+00,1.682753443717956543e+00
-1.511511511511511419e+00,-2.602602602602610560e-02,-1.593275547027587891e+00,-5.037741661071777344e-01
-1.835835835835835761e+00,6.346346346346347644e-01,-2.136579036712646484e+00,2.539869844913482666e-01
7.407407407407395894e-02,1.703703703703703720e+00,9.118510037660598755e-02,1.701820731163024902e+00
-1.501501501501500968e-01,1.051051051051051122e+00,-1.210971698164939880e-01,1.060236930847167969e+00
-1.501501501501500968e-01,1.051051051051051122e+00,-1.488778144121170044e-01,1.036927580833435059e+00
-2.302302302302301484e-01,-1.811811811811811834e+00,-4.196283519268035889e-01,-1.499563574790954590e+00
-1.459459459459459429e+00,3.703703703703702388e-01,-1.643989562988281250e+00,2.190227806568145752e-01
-1.651651651651651731e+00,1.695695695695695449e+00,-1.679719328880310059e+00,1.690261602401733398e+00
-2.582582582582582109e-01,1.395395395395395255e+00,-2.864388823509216309e-01,1.458595991134643555e+00
-1.511511511511511419e+00,-2.602602602602610560e-02,-1.717852950096130371e+00,-1.250258237123489380e-01
2.182182182182184071e-01,-9.629629629629630205e-01,-8.297149837017059326e-02,-1.111499190330505371e+00
-8.908908908908907964e-01,8.428428428428427210e-01,-8.674391508102416992e-01,5.289154052734375000e-01
4.104104104104102646e-01,-1.959959959959959974e+00,-2.937665879726409912e-01,-1.736433506011962891e+00
4.584584584584585620e-01,-1.203203203203203175e+00,4.221413433551788330e-01,-1.412426829338073730e+00
-1.019019019019018923e+00,-1.527527527527527518e+00,-1.089418053627014160e+00,-1.404537796974182129e+00
1.751751751751751573e+00,1.221221221221222564e-01,1.866037964820861816e+00,9.274926036596298218e-02
-1.291291291291291277e+00,1.803803803803803785e+00,-1.302530288696289062e+00,1.714971542358398438e+00
1.751751751751751573e+00,1.221221221221222564e-01,1.770596504211425781e+00,3.876671567559242249e-02
-6.746746746746747903e-01,1.247247247247247337e+00,-6.878769993782043457e-01,1.227714538574218750e+00
-1.183183183183183163e+00,6.586586586586586911e-01,-1.214368343353271484e+00,4.093198478221893311e-01
9.469469469469471434e-01,8.588588588588588202e-01,9.047620296478271484e-01,8.833333253860473633e-01
4.304304304304302775e-01,-1.911911911911911899e+00,-3.710763752460479736e-01,-1.668987035751342773e+00
-1.419419419419419404e+00,-8.308308308308307577e-01,-1.305639982223510742e+00,-1.025115132331848145e+00
1.375375375375375242e+00,-8.148148148148148806e-01,1.127762556076049805e+00,-8.976144790649414062e-01
