sigma_rate,a,b,beta
3.1515462,-0.07740898,4.2728634,3.4189062
-0.8853631,-0.36054915,1.8028682,5.005635
-1.0504129,-0.06996623,2.2220652,3.6860409
1.140003,0.40298617,-2.4218855,5.8446946
2.6222632,-1.0877388,1.18362,3.6566305
0.87299174,0.46225378,1.4043859,4.530671
4.1864405,0.06620352,0.59413916,3.5655708
1.5201207,0.18044886,-1.1205219,2.666582
1.0594443,0.68978566,4.419376,3.8144023
0.72207016,0.97017497,4.084245,3.3772347
1.3007014,0.107040524,0.84659517,-0.14528593
0.5523565,0.09100177,1.5240332,-0.36137518
-0.9914706,-0.12509426,2.197501,3.7259505
2.3297675,0.6712685,2.8261988,2.5658674
4.34936,0.06266483,0.53554446,3.5406845
1.3254772,0.28855813,2.5049422,0.440421
-0.84101903,-0.14107567,2.2101376,3.8151686
-0.04238773,0.25214654,-1.1642536,4.973729
4.46901,0.048321884,0.4478172,3.4831393
0.70511,-0.07744021,2.407222,3.9378753
1.4034067,0.16048723,3.9806132,3.0954013
4.4037786,0.03236735,0.66108674,3.401597
0.74744785,-0.042419672,2.3063383,4.0680003
-1.002402,-0.06651269,2.1605604,3.8495371
0.34052426,0.09020264,2.3809156,3.9858506
1.1876421,-0.2613593,2.0035925,3.4169028
1.6125957,0.09293123,2.0172305,3.0436237
-0.9603655,0.028245239,2.0565944,3.810705
-0.3947232,0.23284498,-0.47361875,4.500917
3.2300055,0.7109198,4.7563787,3.7607288
-0.9333269,0.051112853,2.458915,2.3028784
4.195604,0.037666768,0.35006562,3.5150383
0.6173393,-0.11783844,4.8568306,2.9807346
3.0770085,0.36976328,3.8876543,3.267556
-1.8076564,-0.18676522,2.8644912,1.7731457
1.7400372,-0.027778886,1.5800872,2.5719178
4.120303,0.22306903,0.556047,3.6951122
-2.7441642,-0.48104885,4.330049,4.9841747
3.6289299,0.04686937,1.4715418,2.4036524
3.1221836,-0.35496438,2.8404772,3.7459931
1.9211774,-0.56444216,2.4172661,3.8993852
-2.3678777,-0.1645211,2.922391,4.43826
3.636628,-0.5684405,3.0519035,2.179301
2.5986423,-0.20324548,4.2227907,3.002508
3.1599228,0.48663858,3.751564,4.0423317
3.9750693,0.42044064,3.7710416,2.143986
1.1108286,-0.5993714,0.15468177,3.6028626
-1.2921115,-0.18958683,2.5315592,3.7647762
2.941653,0.009055308,2.5181196,2.8678868
4.1991076,0.0412452,0.5514472,3.6213431
-0.7299071,-0.00477877,2.115995,3.7571652
4.519393,0.2220784,0.4822761,3.323188
3.3657017,0.46324065,3.8667111,2.77443
2.7558515,0.036967155,3.8831983,3.0079875
3.3542356,0.47715065,3.952956,2.487287
3.287122,-0.087444864,1.9869037,4.376508
-1.2379298,-0.16188575,2.4856548,3.729217
1.1921773,0.29588807,-1.1514962,3.4936392
-0.85878015,-0.13431017,2.0993366,3.7920055
2.8445227,-0.083950035,1.6896734,3.2114027
1.0302777,-0.46667352,1.1801581,3.603699
1.1228356,-0.008520139,0.58690083,3.006673
0.081865385,0.07777262,3.1340547,3.733415
1.5286679,0.122896366,4.1527104,3.964626
-0.88491315,0.16101713,0.4484373,2.657469
3.3078313,0.20829254,2.968429,4.0341244
3.0889828,-0.028918955,2.7825458,4.071084
0.39627084,-0.14343801,3.2335827,3.849022
-0.12237949,0.22672874,-0.9905147,4.7259793
3.0586545,-0.20494244,2.5866847,3.2169836
0.48168167,0.30530724,2.4457245,3.947319
2.6875782,-0.7506398,1.4470463,3.4761393
-0.7910936,-0.046441656,2.269443,3.8336473
3.0641575,-0.11291617,5.2948503,2.2470164
1.3294859,0.3677936,3.1884017,3.72498
0.9623353,0.21363294,-0.60878205,2.644024
3.5735922,0.07483583,2.2914999,2.5353403
4.3370123,0.048948396,0.6735014,3.1894493
3.4064755,0.21359456,3.505176,3.8910098
0.66833615,0.19038682,3.691383,2.7321076
0.3536542,0.028012171,3.8565938,4.0129743
-0.7229321,0.068027,2.1180305,3.8539586
2.528256,-0.35814965,1.635467,3.797053
0.91176647,0.22394861,-0.314697,1.1970972
-0.6327433,-0.08713826,2.373546,3.7106977
1.1523327,-0.59277654,3.3617778,3.2963736
2.2677636,-0.07179502,3.8938775,3.7579181
-0.5945549,0.27561495,1.6846199,4.7527456
3.6176775,0.30145457,6.5220485,2.5859015
4.081932,0.15690511,0.3692912,1.753308
