sigma_rate,beta
-1.0151516,-2.260498
-0.5840076,-2.2774017
-0.4750379,-2.4276936
-0.27314758,-2.0575595
-0.107441016,-2.117556
0.0013973993,-1.971593
0.3177817,-2.0559988
0.20741096,-2.0901613
0.3937706,-1.8321985
0.5416172,-2.029842
0.40213874,-1.8840457
0.5567169,-2.0673199
0.6555005,-2.0265102
0.5542838,-1.7891673
0.7052986,-2.0058868
0.59104925,-1.7911371
0.63882697,-1.6952168
0.6729805,-1.981698
0.65587384,-1.4625616
0.807941,-1.8959974
